,Unnamed: 0,date,title,cleaned title
70,70,2021-12-01,"Ayah di Ponorogo Cabuli 2 Anak Kandung Selama 8 Tahun, Pelaku Dilaporkan Istri ke Polisi",ayah di ponorogo cabul anak kandung lama tahun laku lapor istri ke polisi
71,71,2021-12-01,"Kota Bogor Turun ke PPKM Level 2, Kemungkinan karena Klaster PTM Terbatas",kota bogor turun ke ppkm level mungkin karena klaster ptm batas
72,72,2021-12-01,"Video Viral Hewan Mirip Jari Tangan, Apa Itu? Ini Penjelasan Ahli LIPI",video viral hewan mirip jari tangan apa itu ini jelas ahli lipi
73,73,2021-12-01,5 Tanda Kucing Marah dengan Pemiliknya,tanda kucing marah dengan milik
74,74,2021-12-01,Ini Deretan Hunian Perumnas yang Bisa Dipilih Warga Jabodetabek,ini deret huni perumnas yang bisa pilih warga jabodetabek
75,75,2021-12-01,Sikap Awal Push-up,sikap awal pushup
76,76,2021-12-01,"Terungkap, Sopir Angkutan Barang di Medan Dibunuh Sahabatnya karena Dendam",ungkap sopir angkut barang di medan bunuh sahabat karena dendam
77,77,2021-12-01,"Apa itu NPWP: Pengertian, Manfaat, Jenis, dan Fungsinya",apa itu npwp erti manfaat jenis dan fungsi
78,78,2021-12-01,Mensesneg: Untuk Pertama Kalinya Komnas Disabilitas Dibentuk,mensesneg untuk pertama kali komnas disabilitas bentuk
79,79,2021-12-01,"Empat Hari HST Kalsel Terendam Banjir, Pengungsi Mulai Keluhkan Gatal-gatal",empat hari hst kalsel rendam banjir ungsi mulai keluh gatalgatal
80,80,2021-12-01,"Kembali Hadir, FFFest 2021 Jadi Event Kolaborasi Online Terbesar di Indonesia",kembali hadir fffest jadi event kolaborasi online besar di indonesia
81,81,2021-12-01,"Tabrak Truk Fuso yang Sedang Berhenti di Bypass Bandara Lombok, Seorang Pengendara Motor Tewas",tabrak truk fuso yang sedang henti di bypass bandara lombok orang kendara motor tewas
82,82,2021-12-01,"Reksadana Pasar Uang: Definisi, Keuntungan, dan Risikonya",reksadana pasar uang definisi untung dan risiko
83,83,2021-12-01,Cerita Warga Gunungkidul Relakan Tanahnya Ditempati SD Selama Puluhan Tahun,cerita warga gunungkidul rela tanah tempat sd lama puluh tahun
84,84,2021-12-01,"Dua Mahasiswi Unsri Kembali Jadi Korban Pelecehan Seksual, Kali Ini Dilakukan Oknum Staf Kampus",dua mahasiswi unsri kembali jadi korban leceh seksual kali ini laku oknum staf kampus
85,85,2021-12-01,"Dengar Pidato Cak Nun, Indro Enggan Bikin Biopik Warkop DKI",dengar pidato cak nun indro enggan bikin biopik warkop dki
86,86,2021-12-01,Lirik dan Chord Lagu 5:15 AM - Mark Knopfler,lirik dan chord lagu am mark knopfler
87,87,2021-12-01,Petenis Johanna Konta Putuskan Pensiun,tenis johanna konta putus pensiun
88,88,2021-12-01,"SKK Migas: Perjalanan Menuju ""Net Zero Emission"" Bukan Sprint...",skk migas jalan tuju net zero emission bukan sprint
89,89,2021-12-01,"UPDATE 1 Desember: 292.143 Spesimen Terkait Covid-19 Diperiksa, Positivity Rate PCR 0,76 Persen",update desember spesimen kait covid periksa positivity rate pcr persen
90,90,2021-12-01,"Hikmah Raditya Dika soal Khawatirkan Masa Depan, Akhirnya Siapkan Dana Pensiun",hikmah raditya dika soal khawatir masa depan akhir siap dana pensiun
91,91,2021-12-01,"ODGJ yang Bakar Rumah Warga di Blitar Pernah Bunuh Orang, Camat: Sampai Ditolak Panti Rehabilitasi",odgj yang bakar rumah warga di blitar pernah bunuh orang camat sampai tolak panti rehabilitasi
92,92,2021-12-01,Apindo Karawang: UMK 2022 hanya Berlaku untuk Karyawan yang Belum Setahun Kerja,apindo karawang umk hanya laku untuk karyawan yang belum tahun kerja
93,93,2021-12-01,Jokowi: Saya Ingin Presidensi Indonesia di G20 Tak Sebatas Seremonial,jokowi saya ingin presidensi indonesia di g tak batas seremonial
94,94,2021-12-01,RSUD Kota Depok Siapkan Tangki Oksigen Kapasitas 10 Ton untuk Antisipasi Gelombang Ketiga Covid-19,rsud kota depok siap tangki oksigen kapasitas ton untuk antisipasi gelombang tiga covid
95,95,2021-12-01,INFOGRAFIK: Aturan Terbaru Karantina Perjalanan Internasional,infografik atur baru karantina jalan internasional
96,96,2021-12-01,Lirik dan Chord Lagu Fifteen Minutes - Mike Krol,lirik dan chord lagu fifteen minutes mike krol
97,97,2021-12-01,"Hari AIDS Sedunia, Apa Bedanya HIV dengan AIDS?",hari aids dunia apa beda hiv dengan aids
98,98,2021-12-01,9 Ruas Tol Trans-Sumatera Siap Digunakan Libur Natal dan Tahun Baru,ruas tol transsumatera siap guna libur natal dan tahun baru
99,99,2021-12-01,Ini Tarif Pajak Penghasilan Badan dan Cara Menghitungnya,ini tarif pajak hasil badan dan cara hitung
100,100,2021-12-01,90 Persen Pasien Covid-19 di Wisma Atlet Kemayoran WNI Repatriasi,persen pasien covid di wisma atlet mayor wni repatriasi
101,101,2021-12-01,"Program Pembibitan Ikan di Pangkalpinang Terancam Mandek, gara-gara Tak Ada Anggaran",program bibit ikan di pangkalpinang ancam mandek garagara tak ada anggar
102,102,2021-12-01,"Cedera Pinggang, Kento Momota Mundur dari BWF World Tour Finals 2021",cedera pinggang kento momota mundur dari bwf world tour finals
103,103,2021-12-01,"Wisatawan Mancanegara Mulai Ramai Kunjungi Jakarta, Paling Banyak dari China",wisatawan mancanegara mulai ramai kunjung jakarta paling banyak dari china
104,104,2021-12-01,8 Ras Anjing Terbaik untuk Berburu,ras anjing baik untuk buru
105,105,2021-12-01,"Bantu Atasi Stunting di Medan, Kadin Serahkan 200 Timbangan Bayi ke Kahiyang Ayu",bantu atas stunting di medan kadin serah timbang bayi ke kahiyang ayu
106,106,2021-12-01,Randy Martin Masih Betah Jomlo sejak Putus dari Cassandra Lee,randy martin masih betah jomlo sejak putus dari cassandra lee
107,107,2021-12-01,Lirik dan Chord Lagu Love Scene - Baekhyun EXO,lirik dan chord lagu love scene baekhyun exo
108,108,2021-12-01,"Rumah Dinasnya Diserang Preman, Wakil Ketua DPRD Riau Mengaku Dapat SMS Ancaman",rumah dinas serang preman wakil ketua dprd riau aku dapat sms ancam
109,109,2021-12-01,"Dua Bulan PTM Terbatas, 22 Murid dan 16 Tenaga Pendidik di Tangsel Positif Covid-19",dua bulan ptm batas murid dan tenaga didik di tangsel positif covid
110,110,2021-12-01,"1.244 Warga Depok Idap HIV/AIDS, Paling Banyak di Pancoran Mas",warga depok idap hivaids paling banyak di pancoran mas
111,111,2021-12-01,Indonesia Larang Kedatangan WNA dari 11 Negara akibat Varian Omicron,indonesia larang datang wna dari negara akibat varian omicron
112,112,2021-12-01,"Dikeluhkan karena Turun Terus , Berapa Sebenernya Anggaran MPR?",keluh karena turun terus berapa sebenernya anggar mpr
113,113,2021-12-01,Tarif Cukai Rokok Kemungkinan Terbit Pekan Depan,tarif cukai rokok mungkin terbit pekan depan
114,114,2021-12-01,"BMKG Peringatkan Potensi Siklon Tropis Teratai di Samudera Hindia, Barat Daya Lampung",bmkg ingat potensi siklon tropis teratai di samudera hindia barat daya lampung
115,115,2021-12-01,"Viral, Video Tukang Parkir Pasar Ludahi Perempuan Berdaster di Medan, Ini Kata Polisi",viral video tukang parkir pasar ludah perempuan daster di medan ini kata polisi
116,116,2021-12-01,Lirik dan Chord Lagu I Don't Wanna Have to Lie - Lolo,lirik dan chord lagu i dont wanna have to lie lolo
117,117,2021-12-01,"5 Fakta Menarik Serial Terbaru Reza Rahadian, Layangan Putus",fakta tarik serial baru reza rahadian layang putus
118,118,2021-12-01,Solidaritas Jurnalis di Semarang untuk Nurhadi Korban Kekerasan Saat Liputan,solidaritas jurnalis di semarang untuk nurhadi korban keras saat liput
119,119,2021-12-01,"Dekat dengan Kehidupan, Bony Wirasmono Sebut Film Nussa Cocok Ditonton Semua Kalangan",dekat dengan hidup bony wirasmono sebut film nussa cocok tonton semua kalang
120,120,2021-12-01,Mantan Perdana Menteri Lesotho Didakwa atas Pembunuhan Istrinya,mantan perdana menteri lesotho dakwa atas bunuh istri
121,121,2021-12-01,"Sepenggal Cerita Petani Tembakau, dari Warisan hingga Cinta...",penggal cerita tani tembakau dari waris hingga cinta
122,122,2021-12-01,5 Aplikasi Gratis untuk Berbagi File di Ponsel Android,aplikasi gratis untuk bagi file di ponsel android
123,123,2021-12-01,"Polisi: Peran 2 Terduga Teroris di Luwu Timur, Siapkan Tempat Pertemuan dan Jaga Senjata",polisi peran duga teroris di luwu timur siap tempat temu dan jaga senjata
124,124,2021-12-01,"Kesedihan Nora Alexandra Antar Jerinx ke Ruang Tahanan: Baru Bebas, Harus Masuk Lagi...",sedih nora alexandra antar jerinx ke ruang tahan baru bebas harus masuk lagi
125,125,2021-12-01,"Tiga Pelajar SMP Berkomplot dengan Residivis, Bunuh Seorang Perempuan, LPA: Ini PR Besar bagi Masyarakat dan Pemerintah",tiga ajar smp komplot dengan residivis bunuh orang perempuan lpa ini pr besar bagi masyarakat dan perintah
